Navn;Vegreferanse;Fra;Til;Dato;Trafikkmengde
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-10T00:00+01:00;2023-01-11T00:00+01:00;10.01.2023;3567
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-11T00:00+01:00;2023-01-12T00:00+01:00;11.01.2023;1716
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-11T00:00+01:00;2023-01-12T00:00+01:00;11.01.2023;1805
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-11T00:00+01:00;2023-01-12T00:00+01:00;11.01.2023;1716
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-11T00:00+01:00;2023-01-12T00:00+01:00;11.01.2023;1805
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-11T00:00+01:00;2023-01-12T00:00+01:00;11.01.2023;3521
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-12T00:00+01:00;2023-01-13T00:00+01:00;12.01.2023;1759
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-12T00:00+01:00;2023-01-13T00:00+01:00;12.01.2023;1961
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-12T00:00+01:00;2023-01-13T00:00+01:00;12.01.2023;1759
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-12T00:00+01:00;2023-01-13T00:00+01:00;12.01.2023;1961
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-12T00:00+01:00;2023-01-13T00:00+01:00;12.01.2023;3720
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-13T00:00+01:00;2023-01-14T00:00+01:00;13.01.2023;1708
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-13T00:00+01:00;2023-01-14T00:00+01:00;13.01.2023;1832
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-13T00:00+01:00;2023-01-14T00:00+01:00;13.01.2023;1710
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-13T00:00+01:00;2023-01-14T00:00+01:00;13.01.2023;1830
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-13T00:00+01:00;2023-01-14T00:00+01:00;13.01.2023;3540
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-14T00:00+01:00;2023-01-15T00:00+01:00;14.01.2023;512
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-14T00:00+01:00;2023-01-15T00:00+01:00;14.01.2023;547
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-14T00:00+01:00;2023-01-15T00:00+01:00;14.01.2023;512
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-14T00:00+01:00;2023-01-15T00:00+01:00;14.01.2023;547
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-14T00:00+01:00;2023-01-15T00:00+01:00;14.01.2023;1059
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-15T00:00+01:00;2023-01-16T00:00+01:00;15.01.2023;532
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-15T00:00+01:00;2023-01-16T00:00+01:00;15.01.2023;517
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-15T00:00+01:00;2023-01-16T00:00+01:00;15.01.2023;532
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-15T00:00+01:00;2023-01-16T00:00+01:00;15.01.2023;517
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-15T00:00+01:00;2023-01-16T00:00+01:00;15.01.2023;1049
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-16T00:00+01:00;2023-01-17T00:00+01:00;16.01.2023;1867
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-16T00:00+01:00;2023-01-17T00:00+01:00;16.01.2023;2009
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-16T00:00+01:00;2023-01-17T00:00+01:00;16.01.2023;1867
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-16T00:00+01:00;2023-01-17T00:00+01:00;16.01.2023;2009
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-16T00:00+01:00;2023-01-17T00:00+01:00;16.01.2023;3876
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-17T00:00+01:00;2023-01-18T00:00+01:00;17.01.2023;1914
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-17T00:00+01:00;2023-01-18T00:00+01:00;17.01.2023;2001
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-17T00:00+01:00;2023-01-18T00:00+01:00;17.01.2023;1913
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-17T00:00+01:00;2023-01-18T00:00+01:00;17.01.2023;2002
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-17T00:00+01:00;2023-01-18T00:00+01:00;17.01.2023;3915
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-18T00:00+01:00;2023-01-19T00:00+01:00;18.01.2023;1814
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-18T00:00+01:00;2023-01-19T00:00+01:00;18.01.2023;1913
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-18T00:00+01:00;2023-01-19T00:00+01:00;18.01.2023;1814
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-18T00:00+01:00;2023-01-19T00:00+01:00;18.01.2023;1913
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-18T00:00+01:00;2023-01-19T00:00+01:00;18.01.2023;3727
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-19T00:00+01:00;2023-01-20T00:00+01:00;19.01.2023;1788
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-19T00:00+01:00;2023-01-20T00:00+01:00;19.01.2023;1978
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-19T00:00+01:00;2023-01-20T00:00+01:00;19.01.2023;1784
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-19T00:00+01:00;2023-01-20T00:00+01:00;19.01.2023;1982
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-19T00:00+01:00;2023-01-20T00:00+01:00;19.01.2023;3766
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-20T00:00+01:00;2023-01-21T00:00+01:00;20.01.2023;1729
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-20T00:00+01:00;2023-01-21T00:00+01:00;20.01.2023;1826
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-20T00:00+01:00;2023-01-21T00:00+01:00;20.01.2023;1727
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-20T00:00+01:00;2023-01-21T00:00+01:00;20.01.2023;1828
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-20T00:00+01:00;2023-01-21T00:00+01:00;20.01.2023;3555
